1	Z
2	C
3	C
4	C
5	C
6	H
7	H
8	H
9	N
10	F
11	E
12	H
13	I
14	E
15	G
16	H
17	H
18	I
19	H
20	H
21	N
22	F
23	G
24	L
25	I
26	D
27	F
28	H
29	H
30	C
31	N
32	I
33	N
34	N
35	N
36	N
37	I
38	I
39	G
40	E
41	K
42	O
43	E
44	H
45	H
46	N
47	L
48	C
49	H
50	H
51	N
52	N
53	H
54	H
55	H
56	N
57	N
58	H
59	I
60	G
61	F
62	G
63	D
64	H
65	H
66	H
67	L
68	N
69	N
70	I
71	O
72	E
73	E
74	N
75	P
76	I
77	H
78	C
79	E
80	L
81	N
82	H
83	H
84	H
85	O
86	H
87	I
88	N
89	G
90	I
91	I
92	I
93	G
94	H
95	N
96	N
97	B
98	F
99	I
100	E
101	C
102	I
103	I
104	H
105	H
106	N
107	B
108	P
109	L
110	L
111	N
112	N
113	I
114	I
115	N
116	N
117	N
118	N
119	P
120	O
121	E
122	C
123	H
124	N
125	L
126	E
127	H
128	H
129	I
130	H
131	H
132	N
133	I
134	I
135	H
136	N
137	H
138	G
139	H
140	H
141	N
142	H
143	H
144	H
145	E
146	I
147	O
148	F
149	G
150	D
151	H
152	H
153	H
154	C
155	L
156	P
157	G
158	H
159	C
160	E
161	E
162	E
163	N
164	N
165	N
166	H
167	G
168	E
169	E
170	H
171	L
172	D
173	N
174	H
175	H
176	C
177	B
178	B
179	P
180	B
181	N
182	C
183	C
184	H
185	G
186	P
187	P
188	I
189	E
190	G
191	N
192	N
193	E
194	H
195	G
196	B
197	E
198	E
199	I
200	C
201	H
202	C
203	C
204	G
205	C
206	O
207	O
208	P
209	P
210	N
211	N
212	N
213	H
214	L
215	H
216	H
217	G
218	H
219	H
220	H
221	N
222	O
223	L
224	C
225	H
226	G
227	O
228	E
229	H
230	H
231	H
232	H
233	H
234	H
235	H
236	H
237	H
238	H
239	H
240	H
241	H
242	N
243	N
244	H
245	H
246	H
247	H
248	I
249	G
250	F
251	G
252	H
253	H
254	H
255	N
256	C
257	P
258	G
259	H
260	C
261	E
262	E
263	E
264	N
265	G
266	H
267	I
268	H
269	H
270	H
271	B
272	P
273	H
274	I
275	G
276	N
277	H
278	E
279	I
280	H
281	L
282	C
283	C
284	H
285	H
286	P
287	H
288	C
289	C
290	C
291	G
292	E
293	C
294	E
295	G
296	P
297	C
298	F
299	E
300	E
301	B
