1	Z
2	Z
3	N
4	I
5	I
6	O
7	N
8	G
9	N
10	N
11	N
12	I
13	H
14	N
15	F
16	G
17	P
18	G
19	G
20	H
21	N
22	H
23	G
24	G
25	N
26	N
27	G
28	H
29	C
30	G
31	P
32	K
33	N
34	O
35	I
36	L
37	N
38	N
39	O
40	E
41	I
42	E
43	E
44	O
45	N
46	G
47	N
48	I
49	O
50	D
51	P
52	H
53	I
54	H
55	H
56	N
57	N
58	N
59	N
60	G
61	N
62	H
63	P
64	F
65	F
66	P
67	G
68	N
69	I
70	O
71	G
72	G
73	N
74	N
75	I
76	G
77	H
78	H
79	O
80	L
81	L
82	L
83	O
84	L
85	L
86	L
87	P
88	O
89	K
90	I
91	I
92	F
93	I
94	G
95	L
96	E
97	I
98	N
99	J
100	I
101	G
102	N
103	I
104	L
105	E
106	N
107	N
108	N
109	N
110	E
111	E
112	E
113	E
114	L
115	H
116	H
117	L
118	L
119	O
120	N
121	H
122	E
123	E
124	N
125	E
126	H
127	N
128	F
129	G
130	E
131	H
132	L
133	E
134	G
135	E
136	I
137	L
138	E
139	N
140	N
141	H
142	C
143	G
144	P
145	K
146	E
147	E
148	E
149	N
150	L
151	L
152	E
153	I
154	P
155	E
156	I
157	E
158	H
159	E
160	E
161	N
162	E
163	H
164	E
165	E
166	O
167	H
168	H
169	N
170	H
171	E
172	E
173	N
174	E
175	H
176	P
177	F
178	G
179	P
180	G
181	L
182	E
183	N
184	E
185	I
186	L
187	E
188	N
189	G
190	H
191	D
192	G
193	P
194	P
195	P
196	P
197	P
198	N
199	N
200	H
201	C
202	N
203	O
204	N
205	N
206	P
207	N
208	N
209	N
210	H
211	C
212	N
213	P
214	P
215	P
216	P
217	N
218	P
219	P
220	P
221	P
222	P
223	O
224	P
225	P
226	P
227	P
228	P
229	P
