1	Z
2	P
3	B
4	B
5	B
6	P
7	P
8	P
9	P
10	P
11	P
12	K
13	L
14	K
15	N
16	E
17	D
18	D
19	K
20	L
21	K
22	N
23	F
24	O
25	K
26	K
27	O
28	L
29	N
30	D
31	I
32	O
33	O
34	K
35	N
36	N
37	I
38	N
39	P
40	E
41	E
42	A
43	L
44	L
45	N
46	L
47	P
48	I
49	A
50	N
51	I
52	P
53	P
54	N
55	P
56	I
57	G
58	I
59	L
60	O
61	L
62	P
63	P
64	P
65	F
66	I
67	P
68	F
69	P
70	P
71	P
72	P
73	P
74	P
75	P
76	P
77	N
78	P
79	L
80	I
81	H
82	F
83	H
84	G
85	G
86	I
87	I
88	H
89	G
90	K
91	K
92	L
93	P
94	J
95	N
96	K
97	K
98	B
99	L
100	F
101	N
102	N
103	L
104	L
105	L
106	L
107	H
108	D
109	P
110	K
111	H
112	L
113	I
114	K
115	H
116	L
117	I
118	G
119	K
120	K
121	K
122	P
123	N
124	L
125	O
126	P
127	G
128	I
129	O
130	H
131	H
132	I
133	L
134	H
135	H
136	O
137	O
138	O
139	O
140	O
141	O
142	O
143	L
144	L
145	L
146	L
147	L
148	L
149	L
150	L
151	L
152	L
153	L
154	L
155	G
156	G
157	F
158	N
159	H
160	F
161	F
162	N
163	P
164	P
165	F
166	D
167	F
168	B
169	K
170	K
171	L
172	J
173	L
174	N
175	C
176	L
177	I
178	L
179	I
180	F
181	E
182	L
183	L
184	E
185	F
186	P
187	P
188	C
189	O
190	N
191	O
192	I
193	P
194	I
195	L
196	O
197	P
198	N
199	P
200	P
201	N
202	P
203	P
204	C
205	F
206	P
207	N
208	P
209	F
210	F
211	C
212	C
213	O
214	P
215	N
216	P
217	O
218	I
219	G
220	G
221	O
222	L
223	L
224	G
225	H
226	G
227	H
228	L
229	K
230	G
231	P
232	P
233	P
234	L
235	N
236	K
237	N
238	K
239	L
240	L
241	G
242	L
243	G
244	G
245	G
246	G
247	G
