1	Z
2	K
3	G
4	J
5	G
6	N
7	I
8	N
9	G
10	P
11	G
12	N
13	I
14	E
15	H
16	D
17	I
18	K
19	G
20	N
21	P
22	C
23	N
24	H
25	N
26	N
27	P
28	H
29	N
30	F
31	H
32	D
33	O
34	C
35	D
36	H
37	P
38	C
39	L
40	D
41	N
42	F
43	N
44	H
45	O
46	N
47	P
48	P
49	K
50	G
51	J
52	G
53	N
54	I
55	N
56	G
57	P
58	P
59	H
60	N
61	E
62	H
63	D
64	N
65	C
66	D
67	H
68	P
69	C
70	B
71	E
72	N
73	F
74	N
75	N
76	I
77	N
78	P
79	P
80	P
81	N
82	N
83	N
84	P
85	C
86	N
87	G
88	P
89	G
90	N
91	I
92	N
93	H
94	B
95	O
96	P
97	N
98	B
99	O
100	G
101	N
102	N
103	N
104	N
105	N
106	L
