1	Z
2	Z
3	Z
4	Z
5	F
6	H
7	H
8	H
9	D
10	B
11	B
12	H
13	H
14	N
15	P
16	C
17	P
18	C
19	P
20	C
21	C
22	P
23	N
24	D
25	D
26	D
27	D
28	F
29	E
30	F
31	H
32	H
33	H
34	F
35	F
36	H
37	H
38	H
39	P
40	C
41	G
42	B
43	C
44	C
45	C
46	F
47	C
48	F
49	F
50	F
51	C
52	G
53	N
54	P
55	G
56	B
57	C
58	C
59	C
60	B
61	C
62	C
63	G
64	C
65	P
66	G
67	B
68	C
69	C
70	C
71	B
72	B
73	B
74	G
75	E
76	H
77	H
78	H
79	H
80	F
81	F
82	H
83	H
84	H
85	G
86	C
87	P
88	B
89	C
90	C
91	C
92	F
93	C
94	F
95	B
96	B
97	P
98	F
99	I
100	H
101	F
102	D
103	D
104	D
