1	Z
2	Z
3	N
4	G
5	G
6	G
7	G
8	H
9	H
10	H
11	G
12	N
13	N
14	N
15	H
16	P
17	I
18	L
19	G
20	P
21	L
22	G
23	H
24	H
25	G
26	G
27	H
28	F
29	C
30	F
31	F
32	F
33	F
34	K
35	H
36	N
37	C
38	B
39	F
40	J
41	P
42	I
43	P
44	I
45	E
46	F
47	G
48	B
49	G
50	P
51	G
52	G
53	L
54	E
55	E
56	E
57	L
58	L
59	L
60	E
61	G
62	C
63	G
64	B
65	N
66	F
67	K
68	K
69	O
70	L
71	I
72	L
73	O
74	B
75	O
76	N
77	I
78	C
79	D
80	G
81	G
82	C
83	P
84	G
85	P
86	L
87	L
88	E
89	E
90	P
91	G
92	L
93	K
94	L
95	P
96	N
97	O
98	N
99	I
100	G
101	G
102	E
103	P
104	P
105	O
106	N
107	N
108	N
109	J
110	B
111	G
112	P
113	P
114	N
115	N
116	H
117	C
118	C
119	E
120	H
121	B
122	K
123	P
124	P
125	G
126	I
127	C
128	C
129	G
130	N
131	G
132	N
133	N
134	F
135	N
136	K
137	O
138	L
139	I
140	L
141	O
142	B
143	O
144	P
145	I
146	E
147	D
148	G
149	G
150	G
151	P
152	G
153	G
154	L
155	L
156	E
157	E
158	P
159	G
160	L
161	K
162	L
163	N
164	E
165	E
166	E
167	E
168	E
169	E
170	E
171	H
172	F
173	L
174	F
175	P
176	L
177	L
178	L
179	G
180	L
181	I
182	L
183	H
184	C
185	L
186	P
187	L
188	F
189	P
190	G
191	N
192	N
193	N
194	L
195	G
196	I
197	E
198	E
199	L
200	E
201	E
202	E
203	E
204	E
205	E
206	H
207	H
208	P
209	L
210	L
211	G
212	G
213	L
214	G
215	L
216	H
217	L
218	N
219	C
220	L
221	C
222	L
223	F
224	P
225	G
226	N
227	N
228	N
229	L
230	G
231	I
232	P
233	P
234	B
235	P
236	B
237	N
238	C
239	F
240	O
241	N
242	O
243	H
244	H
245	P
246	H
247	H
248	I
249	C
250	F
251	H
252	E
253	F
254	H
255	C
256	C
257	H
258	E
259	H
260	H
261	N
262	C
263	C
264	C
265	F
266	E
267	H
268	H
269	E
270	H
271	D
272	C
273	C
274	H
275	H
276	H
277	H
278	H
279	E
280	H
281	H
282	N
283	E
284	H
285	F
286	I
287	E
288	H
289	E
290	F
291	E
292	H
293	E
294	D
295	E
296	H
297	P
298	C
299	F
300	G
301	I
302	F
303	G
304	H
305	G
306	C
307	O
308	G
309	N
310	K
311	G
312	N
313	O
314	N
315	P
316	I
317	B
318	O
319	O
320	F
321	G
322	N
323	P
324	P
325	P
326	L
327	P
328	I
329	N
330	E
331	E
332	I
333	L
334	L
335	L
336	C
337	E
338	L
339	L
340	E
341	I
342	L
343	N
344	G
345	G
346	G
347	G
348	G
349	L
350	G
351	E
352	E
