1	Z
2	Z
3	P
4	B
5	B
6	B
7	P
8	P
9	P
10	P
11	P
12	P
13	P
14	P
15	P
16	P
17	P
18	N
19	P
20	P
21	O
22	P
23	E
24	E
25	N
26	N
27	L
28	G
29	I
30	P
31	P
32	N
33	P
34	P
35	P
36	L
37	P
38	N
39	O
40	L
41	L
42	F
43	N
44	P
45	L
46	F
47	O
48	I
49	D
50	L
51	N
52	E
53	N
54	O
55	G
56	P
57	P
58	P
59	J
60	N
61	P
62	P
63	P
64	I
65	I
66	P
67	P
68	P
69	P
70	P
71	P
72	P
73	P
74	P
75	P
76	J
77	P
78	P
79	J
80	J
81	P
82	P
83	J
84	J
85	P
86	P
87	P
88	G
89	G
90	B
91	P
92	B
93	N
94	N
95	P
96	N
97	B
98	N
99	P
100	B
101	N
102	N
103	F
104	B
105	N
106	B
107	C
108	F
109	O
110	O
111	C
112	B
113	B
114	O
115	P
116	A
117	C
118	H
119	H
120	G
121	L
122	C
123	P
124	L
125	C
126	C
127	P
128	L
129	C
130	E
131	H
132	L
133	C
134	E
135	H
136	E
137	H
138	E
139	H
140	C
141	H
142	C
143	H
144	F
145	D
146	D
147	F
148	F
149	C
150	C
151	C
152	C
153	C
154	C
155	N
156	C
157	N
158	C
159	C
160	G
161	C
162	I
163	B
164	C
165	P
166	L
167	G
168	K
169	L
170	C
171	P
172	C
173	L
174	G
175	L
176	D
177	L
178	P
179	G
180	C
181	E
182	H
183	H
184	E
185	P
186	P
187	P
188	P
189	I
190	P
191	N
192	L
193	P
194	G
195	B
196	E
197	L
198	N
199	P
200	P
201	N
202	P
203	P
204	P
205	P
206	P
207	J
208	I
209	G
210	G
211	G
212	B
213	P
214	P
215	O
216	P
217	P
218	P
219	P
220	P
221	P
222	I
223	P
224	P
225	P
226	P
227	P
228	B
229	I
230	L
231	P
232	P
233	P
234	G
235	I
236	O
237	G
238	I
239	I
240	G
241	G
242	G
243	L
244	N
245	G
246	L
247	H
