1	Z
2	L
3	G
4	C
5	C
6	N
7	C
8	I
9	F
10	B
11	G
12	P
13	L
14	G
15	C
16	C
17	C
18	C
19	E
20	G
21	C
22	D
23	H
24	C
25	F
26	N
27	L
28	G
29	C
30	I
31	C
32	N
33	E
34	N
35	C
36	H
37	I
38	D
39	I
40	D
41	G
42	C
43	F
44	G
45	H
46	C
47	P
48	I
49	F
50	E
51	N
52	E
53	L
54	L
55	N
56	P
57	L
58	G
59	G
60	G
61	G
62	G
63	F
64	N
65	N
66	G
67	H
68	P
69	I
70	H
71	C
72	E
73	G
74	C
75	I
76	F
77	F
78	E
79	G
80	I
81	H
82	C
83	C
84	P
85	C
86	L
87	H
88	C
89	C
90	F
91	D
92	E
93	G
94	L
95	L
96	I
97	I
98	I
99	I
100	E
101	O
102	N
103	L
104	L
105	I
106	N
107	L
108	E
109	N
