1	Z
2	E
3	E
4	N
5	P
6	E
7	N
8	N
9	L
10	I
11	I
12	E
13	E
14	E
15	N
16	N
17	L
18	I
19	I
20	E
21	L
22	L
23	N
24	N
25	E
26	N
27	N
28	E
29	I
30	I
31	G
32	N
33	G
34	N
35	N
36	E
37	O
38	O
39	G
40	L
41	L
42	N
43	N
44	G
45	O
46	O
47	L
48	L
49	L
50	N
51	N
52	E
53	I
54	I
55	E
56	G
57	G
58	N
59	N
60	E
61	I
62	I
63	E
64	E
65	E
66	N
67	N
68	E
69	I
70	I
71	E
72	D
73	E
74	D
75	N
76	E
77	I
78	I
79	E
80	E
81	E
82	N
83	N
84	E
85	O
86	O
87	G
88	G
89	G
90	N
91	N
92	G
93	O
94	O
95	E
96	E
97	E
98	N
99	N
100	G
101	G
102	G
103	N
104	N
105	C
106	H
107	C
108	C
109	C
110	F
