1	Z
2	Z
3	D
4	D
5	D
6	F
7	D
8	D
9	F
10	N
11	G
12	F
13	G
14	N
15	L
16	B
17	C
18	E
19	D
20	D
21	D
22	C
23	H
24	D
25	D
26	C
27	N
28	G
29	F
30	G
31	N
32	I
33	N
34	F
35	E
36	H
37	E
38	E
39	N
40	D
41	B
42	F
43	G
44	L
45	L
46	L
47	B
48	H
49	L
50	L
51	C
52	H
53	L
54	H
55	E
56	H
57	H
58	H
59	H
60	D
61	B
62	B
63	D
64	F
65	C
66	E
67	E
68	C
69	H
70	C
71	C
72	N
73	E
74	E
75	F
76	B
77	P
78	P
79	P
80	G
81	L
82	L
83	E
84	H
85	L
86	L
87	L
88	N
89	L
90	L
91	P
92	N
93	G
94	F
95	G
96	N
97	B
98	I
99	B
100	C
101	E
102	C
103	E
104	C
105	D
106	D
107	F
108	G
109	L
110	I
111	L
112	L
113	P
114	I
115	I
116	I
117	F
118	D
119	F
120	D
121	C
122	D
123	I
124	N
125	P
126	B
127	N
128	N
129	N
130	P
131	P
132	P
133	N
134	H
135	H
136	C
137	B
138	P
139	P
140	P
141	L
142	N
143	N
144	P
145	B
146	N
147	O
148	I
149	H
150	L
151	L
152	L
153	F
154	D
155	D
156	B
157	D
158	G
159	L
160	L
161	L
162	F
163	D
164	F
165	D
166	G
167	L
168	L
169	I
170	I
171	N
172	O
173	O
