1	Z
2	Z
3	O
4	I
5	P
6	L
7	O
8	L
9	P
10	L
11	O
12	O
13	O
14	O
15	L
16	O
17	L
18	K
19	N
20	J
21	O
22	I
23	K
24	K
25	P
26	O
27	O
28	P
29	N
30	N
31	L
32	P
33	L
34	O
35	O
36	O
37	O
38	O
39	O
40	L
41	O
42	L
43	O
44	L
45	P
46	N
47	K
48	P
49	L
50	K
51	K
52	K
53	O
54	P
55	E
56	I
57	N
58	N
59	N
60	F
61	H
62	L
63	I
64	L
65	I
66	L
67	I
68	L
69	O
70	I
71	N
72	O
73	N
74	O
75	N
76	O
77	L
78	L
79	N
80	G
81	L
82	L
83	L
84	F
85	E
86	L
87	E
88	L
89	I
90	E
91	I
92	L
93	P
94	L
95	O
96	O
97	I
98	O
99	O
100	O
101	L
102	L
103	P
104	P
105	N
106	H
107	H
108	N
109	G
110	P
111	I
112	N
113	E
114	N
115	N
116	N
117	F
118	H
119	G
120	L
121	O
122	L
123	O
124	L
125	O
126	L
127	I
128	N
129	O
130	N
131	L
132	N
133	G
134	L
135	L
136	N
137	H
138	L
139	L
140	L
141	L
142	P
143	L
144	F
145	E
146	I
147	E
148	N
149	L
150	H
151	O
152	G
153	O
154	I
155	P
156	E
157	O
158	O
159	L
160	H
161	I
162	N
163	H
164	H
165	H
166	O
167	P
168	O
169	I
170	I
171	I
