1	Z
2	Z
3	Z
4	Z
5	H
6	H
7	E
8	F
9	H
10	H
11	A
12	H
13	D
14	F
15	F
16	C
17	E
18	F
19	C
20	E
21	H
22	C
23	E
24	E
25	N
26	E
27	H
28	H
29	E
30	E
31	E
32	E
33	I
34	H
35	H
36	E
37	F
38	H
39	H
40	B
41	H
42	E
43	F
44	H
45	C
46	E
47	F
48	F
49	H
50	H
51	E
52	E
53	E
54	C
55	E
56	I
57	H
58	E
59	E
60	I
61	F
62	D
63	H
64	H
65	F
66	H
67	C
68	I
69	H
70	H
71	E
72	H
73	H
74	E
75	F
76	H
77	A
78	E
79	E
80	B
81	P
82	O
83	O
84	O
85	K
86	G
87	O
88	H
89	H
90	H
91	H
92	N
93	C
94	I
95	B
96	P
97	O
98	P
99	I
100	G
101	P
102	I
103	O
104	I
105	L
106	H
107	H
108	N
109	I
110	G
111	L
112	H
113	H
114	H
115	O
116	L
117	L
118	H
119	H
120	H
121	D
122	D
