B	1.283317 00:00:01.2833170
F	1.382171 00:00:01.3821710
D	1.4808 00:00:01.4808000
E	1.578954 00:00:01.5789540
F	1.673553 00:00:01.6735530
H	1.768811 00:00:01.7688110
C	1.86743 00:00:01.8674300
F	1.966284 00:00:01.9662840
D	2.064676 00:00:02.0646760
G	2.162718 00:00:02.1627180
L	2.257738 00:00:02.2577380
I	2.353201 00:00:02.3532010
N	2.450326 00:00:02.4503260
F	2.546671 00:00:02.5466710
D	2.642351 00:00:02.6423510
E	2.737161 00:00:02.7371610
F	2.831332 00:00:02.8313320
H	2.927634 00:00:02.9276340
C	3.020961 00:00:03.0209610
F	3.114288 00:00:03.1142880
D	3.207615 00:00:03.2076150
G	3.300943 00:00:03.3009430
N	3.39427 00:00:03.3942700
H	3.492424 00:00:03.4924240
C	3.585547 00:00:03.5855470
C	3.678874 00:00:03.6788740
H	3.771791 00:00:03.7717910
C	3.864914 00:00:03.8649140
E	3.958984 00:00:03.9589840
E	4.056688 00:00:04.0566880
E	4.160703 00:00:04.1607030
C	4.25281 00:00:04.2528100
H	4.344916 00:00:04.3449160
C	4.437023 00:00:04.4370230
E	4.529129 00:00:04.5291290
F	4.624595 00:00:04.6245950
C	4.730718 00:00:04.7307180
C	4.824889 00:00:04.8248890
H	4.91906 00:00:04.9190600
C	5.013231 00:00:05.0132310
F	5.107401 00:00:05.1074010
F	5.20648 00:00:05.2064800
E	5.302376 00:00:05.3023760
C	5.398271 00:00:05.3982710
H	5.494167 00:00:05.4941670
C	5.590063 00:00:05.5900630
F	5.685958 00:00:05.6859580
D	5.781854 00:00:05.7818540
E	5.87775 00:00:05.8777500
C	5.973215 00:00:05.9732150
H	6.068236 00:00:06.0682360
C	6.162834 00:00:06.1628340
F	6.257005 00:00:06.2570050
F	6.350761 00:00:06.3507610
E	6.444088 00:00:06.4440880
C	6.537737 00:00:06.5377370
H	6.632014 00:00:06.6320140
C	6.726824 00:00:06.7268240
F	6.822178 00:00:06.8221780
D	6.92174 00:00:06.9217400
E	7.017206 00:00:07.0172060
C	7.112227 00:00:07.1122270
H	7.206825 00:00:07.2068250
C	7.300996 00:00:07.3009960
F	7.394752 00:00:07.3947520
F	7.487977 00:00:07.4879770
E	7.580896 00:00:07.5808960
C	7.673816 00:00:07.6738160
H	7.766735 00:00:07.7667350
C	7.859655 00:00:07.8596550
F	7.952574 00:00:07.9525740
H	8.050729 00:00:08.0507290
D	8.145539 00:00:08.1455390
E	8.239502 00:00:08.2395020
E	8.332524 00:00:08.3325240
E	8.425443 00:00:08.4254430
E	8.518363 00:00:08.5183630
E	8.617925 00:00:08.6179250
E	8.725707 00:00:08.7257070
F	8.826101 00:00:08.8261010
H	8.925188 00:00:08.9251880
H	9.023 00:00:09.0230000
H	9.119568 00:00:09.1195680
D	9.223077 00:00:09.2230770
E	9.326586 00:00:09.3265860
F	9.425204 00:00:09.4252040
H	9.524283 00:00:09.5242830
C	9.623603 00:00:09.6236030
F	9.723165 00:00:09.7231650
H	9.823084 00:00:09.8230840
D	9.922886 00:00:09.9228860
F	10.02304 00:00:10.0230400
H	10.123796 00:00:10.1237960
C	10.225162 00:00:10.2251620
F	10.327279 00:00:10.3272790
H	10.430028 00:00:10.4300280
C	10.52959 00:00:10.5295900
F	10.628669 00:00:10.6286690
D	10.727298 00:00:10.7272980
E	10.825452 00:00:10.8254520
F	10.920473 00:00:10.9204730
H	11.020996 00:00:11.0209960
C	11.11915 00:00:11.1191500
F	11.21708 00:00:11.2170800
D	11.314667 00:00:11.3146670
G	11.411906 00:00:11.4119060
L	11.506731 00:00:11.5067310
I	11.606293 00:00:11.6062930
N	11.703531 00:00:11.7035310
F	11.800208 00:00:11.8002080
D	11.89633 00:00:11.8963300
E	11.991903 00:00:11.9919030
F	12.086818 00:00:12.0868180
H	12.18312 00:00:12.1831200
C	12.275627 00:00:12.2756270
F	12.368134 00:00:12.3681340
D	12.460641 00:00:12.4606410
G	12.553148 00:00:12.5531480
N	12.645655 00:00:12.6456550
H	12.74381 00:00:12.7438100
C	12.836317 00:00:12.8363170
C	12.928824 00:00:12.9288240
H	13.021131 00:00:13.0211310
C	13.114049 00:00:13.1140490
E	13.207802 00:00:13.2078020
E	13.305506 00:00:13.3055060
E	13.400526 00:00:13.4005260
C	13.492633 00:00:13.4926330
H	13.584227 00:00:13.5842270
C	13.675425 00:00:13.6754250
G	13.766128 00:00:13.7661280
N	13.864913 00:00:13.8649130
C	13.982367 00:00:13.9823670
C	14.076537 00:00:14.0765370
H	14.170708 00:00:14.1707080
C	14.264879 00:00:14.2648790
F	14.35905 00:00:14.3590500
D	14.458128 00:00:14.4581280
E	14.556058 00:00:14.5560580
C	14.65307 00:00:14.6530700
H	14.749419 00:00:14.7494190
C	14.845767 00:00:14.8457670
F	14.942115 00:00:14.9421150
F	15.038464 00:00:15.0384640
E	15.142479 00:00:15.1424790
C	15.239265 00:00:15.2392650
H	15.336052 00:00:15.3360520
C	15.432839 00:00:15.4328390
F	15.529625 00:00:15.5296250
D	15.628704 00:00:15.6287040
E	15.724939 00:00:15.7249390
C	15.821287 00:00:15.8212870
H	15.917194 00:00:15.9171940
C	16.013539 00:00:16.0135390
F	16.111123 00:00:16.1111230
H	16.208712 00:00:16.2087120
C	16.304834 00:00:16.3048340
F	16.400077 00:00:16.4000770
H	16.494676 00:00:16.4946760
D	16.589697 00:00:16.5896970
E	16.684718 00:00:16.6847180
E	16.782422 00:00:16.7824220
E	16.878318 00:00:16.8783180
E	16.974213 00:00:16.9742130
E	17.070109 00:00:17.0701090
E	17.166005 00:00:17.1660050
E	17.2619 00:00:17.2619000
C	17.360685 00:00:17.3606850
C	17.455284 00:00:17.4552840
F	17.549455 00:00:17.5494550
H	17.643625 00:00:17.6436250
C	17.737796 00:00:17.7377960
